10000000;Bundesbank;MARKDEF1100;09
10010010;Postbank;PBNKDEFFXXX;24
10010111;SEB;ESSEDE5F100;13
10010424;Aareal Bank;AARBDE5W100;09
10019610;Dexia Kommunalbank Deutschland;DXIADEBBXXX;09
10020200;BHF-BANK;BHFBDEFF100;60
10020500;Bank für Sozialwirtschaft;BFSWDE33BER;09
10020890;UniCredit Bank - HypoVereinsbank;HYVEDEMM488;99
10030200;Berlin Hyp;BHYPDEB2XXX;09
10030400;ABK-Kreditbank;ABKBDEB1XXX;09
10030500;Bankhaus Löbbecke;LOEBDEBBXXX;09
10030600;North Channel Bank;GENODEF1OGK;88
10030700;Eurocity Bank;DLGHDEB1XXX;16
10033300;Santander Consumer Bank;SCFBDE33XXX;09
10040000;Commerzbank, Filiale Berlin 1;COBADEBBXXX;13
10040010;Commerzbank, CC SP;COBADEFFXXX;09
10040048;Commerzbank GF-B48;COBADEFFXXX;13
10040060;Commerzbank Gf 160;COBADEFFXXX;09
10040061;Commerzbank Gf 161;COBADEFFXXX;09
10040062;Commerzbank CC;COBADEFFXXX;09
10040063;Commerzbank CC;COBADEFFXXX;09
10040085;Commerzbank, Gf Web-K;COBADEFFXXX;13
10045050;Commerzbank Service-BZ;COBADEFFXXX;13
10050000;Landesbank Berlin - Berliner Sparkasse;BELADEBEXXX;B8
10050005;Landesbank Berlin - E 1 -;BELADEB1DB5;C6
10050006;Landesbank Berlin - E 2 -;BELADEB1DB6;D1
10050007;Landesbank Berlin - E 3 -;BELADEB1DB7;D4
10050008;Landesbank Berlin - E 4 -;BELADEB1DB8;E2
10050020;LBB S-Kreditpartner, Berlin;SKPADEB1XXX;B8
10050500;LBS Ost Berlin;LBSODEB1BLN;09
10050999;DekaBank Berlin;DGZFDEFFBER;09
10060198;Pax-Bank;GENODED1PA6;06
10060237;Evangelische Darlehnsgenossenschaft -alt-;GENODEF1EDG;33
10061006;Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ;GENODED1KDB;09
10070000;Deutsche Bank Fil Berlin;DEUTDEBBXXX;63
10070024;Deutsche Bank Privat und Geschäftskunden F 700;DEUTDEDBBER;63
10070100;Deutsche Bank Fil Berlin II;DEUTDEBB101;63
10070124;Deutsche Bank Privat und Geschäftskd Berlin II;DEUTDEDB101;63
10070848;Berliner Bank Niederlassung der Deutsche Bank PGK;DEUTDEDB110;63
10077777;norisbank;NORSDE51XXX;63
10080000;Commerzbank vormals Dresdner Bank Filiale Berlin I;DRESDEFF100;76
10080005;Commerzbank vormals Dresdner Bank Zw A;DRESDEFFI26;76
10080006;Commerzbank vormals Dresdner Bank Zw B;DRESDEFFXXX;76
10080055;Commerzbank vormals Dresdner Bank Zw 55;DRESDEFF112;76
10080057;Commerzbank vormals Dresdner Bank Gf ZW 57;DRESDEFF114;76
10080085;Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3;DRESDEFFI53;09
10080086;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4;DRESDEFFI71;09
10080087;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5;DRESDEFFI72;09
10080088;Commerzbank vormals Dresdner Bank IBLZ;DRESDEFFXXX;76
10080089;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6;DRESDEFFI73;09
10080900;Commerzbank vormals Dresdner Bank Filiale Berlin III;DRESDEFF199;76
10089260;Commerzbank vormals Dresdner Bank ITGK;DRESDEFFI14;09
10089999;Commerzbank vormals Dresdner Bank ITGK 2;DRESDEFFI99;09
10090000;Berliner Volksbank;BEVODEBBXXX;06
10090300;Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer;GENODEF1BSB;09
10090603;apoBank;DAAEDED1003;A4
10090900;PSD Bank Berlin-Brandenburg;GENODEF1P01;91
10110300;Privatbank Berlin von 1929;MACODEB1XXX;09
10110400;Investitionsbank Berlin;IBBBDEBBXXX;09
10110600;quirin bank;QUBKDEBBXXX;17
10120100;Weberbank;WELADED1WBB;94
10120600;Santander Consumer Bank;SCFBDE33XXX;09
10120800;VON ESSEN Bankgesellschaft;VONEDE33BLN;09
10130600;Isbank Fil Berlin;ISBKDEFXBER;06
10130800;BIW Bank;BIWBDE33XXX;01
10220500;Bank of Scotland Ndl Berlin;BOFSDEB1XXX;00
10220600;Sydbank Filiale Berlin;SYBKDE22BER;19
10310600;Tradegate Wertpapierhandelsbank Berlin;TRDADEB1PBK;09
12016836;KfW Kreditanstalt für Wiederaufbau;KFWIDEFF100;09
12030000;Deutsche Kreditbank Berlin;BYLADEM1001;00
12030900;Merck Finck & Co;MEFIDEMM100;10
12040000;Commerzbank Filiale Berlin 2;COBADEBB120;13
12050555;NLB FinanzIT;NOLADE21DVS;09
12060000;DZ BANK;GENODEFF120;09
12070000;Deutsche Bank Ld Brandenburg;DEUTDEBB160;63
12070024;Deutsche Bank Privat und Geschäftskunden;DEUTDEDB160;63
12070070;Deutsche Bank (Gf intern);DEUTDEFFVAC;09
12070088;Deutsche Bank (Gf intern);DEUTDEDBPAL;09
12080000;Commerzbank vormals Dresdner Bank Filiale Berlin II;DRESDEFF120;76
12090640;apoBank;DAAEDED1040;A4
12096597;Sparda-Bank Berlin;GENODEF1S10;A8
13000000;Bundesbank;MARKDEF1130;09
13010111;SEB;ESSEDE5F130;13
13040000;Commerzbank;COBADEFFXXX;13
13050000;Ostseesparkasse Rostock;NOLADE21ROS;20
13051042;Sparkasse Vorpommern auf Rügen;NOLADE21RUE;C0
